quinto,クイント
﻿valium,ベイリウム
﻿Beirut,ベイルート
﻿bailout,ベイルアウト
﻿Belgrade,ベオグラード
﻿Vega,ベガ
﻿vector,ベクター
﻿vector,ベクトル
﻿bechamel sauce,ベシャメルソース
﻿vegetable,ベジタブル
﻿vegetarian,ベジタリアン
﻿best,ベスト
﻿best condition,ベストコンディション
﻿best ten,ベストテン
﻿best dresser,ベストドレッサー
﻿best member,ベストメンバー
﻿better,ベター
﻿better half,ベターハーフ
﻿bet,ベット
﻿bed,ベッド
﻿bedroom community,ベッドタウン
﻿bed house,ベッドハウス
﻿bedroom,ベッドルーム
﻿Bedouin,ベドウィン
﻿veneer,ベニヤ
﻿Venetian glass,ベネチアングラス
﻿Venetian blind,ベネチアンブラインド
﻿benefit,ベネフィット
﻿baby oil,ベビーオイル
﻿baby powder,ベビーパウダー
﻿baby boom,ベビーブーム
﻿belly dance,ベリーダンス
﻿belly roll,ベリーロール
﻿verify,ベリファイ
﻿verifier,ベリファイア
﻿bell,ベル
﻿bel canto,ベルカント
﻿Versailles,ベルサイユ
﻿belt conveyer,ベルトコンベヤー
﻿weltschmerz,ベルトシュメルツ
﻿Belfast,ベルファスト
﻿velvet,ベルベット
﻿bellboy,ベルボーイ
﻿bell mark,ベルマーク
﻿vermouth,ベルモット
﻿Berlin,ベルリン
﻿beret,ベレー
﻿velours,ベロア
﻿benzene,ベンゼン
﻿Benson,ベンソン
﻿benzene,ベンゾール
﻿bender,ベンダー
﻿venderization,ベンダリゼーション
﻿bench,ベンチ
﻿bench warmer,ベンチウォーマー
﻿bench press,ベンチプレス
﻿benchmark,ベンチマーク
﻿benchmark task,ベンチマークタスク
﻿venture,ベンチャー
﻿venture capital,ベンチャーキャピタル
﻿venture business,ベンチャービジネス
﻿ventilator,ベンチレーター
﻿bending,ベンディング
﻿vending machine,ベンディングマシーン
﻿page in,ページイン
﻿paging,ページング
﻿pacemaker,ペースメーカー
﻿pathos,ペーソス
﻿paper,ペーパー
﻿papercraft,ペーパークラフト
﻿paper chromatography,ペーパークロマトグラフィー
﻿paperback,ペーパーバック
﻿paper plan,ペーパープラン
﻿paper holder,ペーパーホルダー
﻿pavement,ペーブメント
﻿pavement artist,ペーブメントアーチスト
﻿pair,ペア
﻿pair occupation,ペアオキュペーション
﻿pair skating,ペアスケーティング
﻿pairing,ペアリング
﻿parent,ペアレント
﻿pay,ペイ
﻿payday,ペイデー
﻿pay bridge,ペイブリッジ
﻿payment,ペイメント
﻿payload specialist,ペイロードスペシャリスト
﻿pain clinic,ペインクリニック
﻿paint,ペイント
﻿Pegasus,ペガサス
﻿Pekingology,ペキノロジー
﻿pessimistic,ペシミスティック
﻿pessimist,ペシミスト
﻿pessimism,ペシミズム
﻿pedal,ペダル
﻿pedantism,ペダンチズム
﻿pedantic,ペダンチック
﻿pedantry,ペダントリー
﻿petticoat,ペチコート
﻿petticoat government,ペチコートガバメント
﻿petunia,ペチュニア
﻿pessary,ペッサリー
﻿heavy petting,ペッティング
﻿pet,ペット
﻿pet name,ペットネーム
﻿pepper,ペッパー
﻿pedicure,ペディキュア
﻿pedestal,ペデスタル
﻿pedestrian,ペデストリアン
﻿Petri,ペトリ
﻿petroleum,ペトローリアム
﻿petroleum,ペトロフード
﻿pedometer,ペドメーター
﻿penalty,ペナルティー
﻿penalty area,ペナルティーエルア
﻿penalty kick,ペナルティーキック
﻿penalty goal,ペナルティーゴール
﻿penalty box,ペナルティーボックス
﻿pennant,ペナント
﻿pennant race,ペナントレース
﻿penicillin,ペニシリン
﻿penicillin anaphylaxy,ペニシリンアナフィラキシー
﻿penicillin shock,ペニシリンショック
﻿penis,ペニス
﻿pepper,ペパー
﻿peppermint,ペパーミント
﻿pepsin,ペプシン
﻿peptide,ペプチド
﻿peptone,ペプトン
﻿pelican,ペリカン
﻿periscope,ペリスコープ
﻿peril point,ペリルポイント
﻿perestroika,ペレストロイカ
﻿pellet,ペレット
﻿pen,ペン
﻿penguin,ペンギン
﻿PEN club,ペンクラブ
﻿pencil stripe,ペンシルストライプ
﻿Pennsylvania,ペンシルベニア
﻿pentagon,ペンタゴン
﻿pentathlon,ペンタスロン
﻿pendant,ペンダント
﻿pending,ペンディング
﻿penthouse,ペントハウス
﻿pen pal,ペンパル
﻿penholder,ペンホルダー
﻿penholder grip,ペンホルダーグリップ
﻿Penrose,ペンローズ
﻿whore,ホーア
﻿hose,ホース
﻿horsepower,ホースパワー
﻿horseradish,ホースラディッシュ
﻿horse race,ホースレース
﻿Hovercraft,ホーバークラフト
﻿hope,ホープ
﻿homing,ホーミング
﻿home improvement,ホームインプルーブメント
﻿home economics,ホームエコノミックス
﻿home electronics,ホームエレクトロニクス
﻿home automation,ホームオートメーション
﻿home cooking,ホームクッキング
﻿home ground,ホームグラウンド
﻿home comedy,ホームコメディ
﻿homesick,ホームシック
﻿home shopping,ホームショッピング
﻿homestay,ホームステイ
﻿homestretch,ホームストレッチ
﻿homespun,ホームスパン
﻿Holmes,ホームズ
﻿home security system,ホームセキュリティーシステム
﻿home terminal,ホームターミナル
﻿home team,ホームチーム
﻿home trade,ホームトレード
﻿family doctor,ホームドクター
﻿home bar,ホームバー
﻿home banking,ホームバンキング
﻿home freezing,ホームフリージング
﻿home helper,ホームヘルパー
﻿homemaker,ホームメーカー
﻿homemade,ホームメード
﻿home run,ホームラン
﻿home run derby,ホームランダービー
﻿home reservation,ホームリザベーション
﻿homeroom,ホームルーム
﻿homework,ホームワーク
﻿hole out,ホールアウト
﻿hole in one,ホールインワン
﻿holding,ホールディング
﻿hold,ホールド
﻿horn,ホーン
﻿whipped cream,ホイップクリーム
﻿phosgene,ホスゲン
﻿hostess,ホステス
﻿hostel,ホステル
﻿host,ホスト
﻿host country,ホストカントリー
﻿host club,ホストクラブ
﻿host computer,ホストコンピューター
﻿host family,ホストファミリー
﻿hospice,ホスピス
﻿hospitalism,ホスピタリズム
﻿hospitality,ホスピタリティー
﻿hospital,ホスピタル
﻿hook,ホック
﻿hockey,ホッケー
﻿Hottentot,ホッテントット
﻿hot,ホット
﻿hot war,ホットウォー
﻿hot curler,ホットカーラー
﻿hotcakes,ホットケーキ
﻿hot jazz,ホットジャズ
﻿hot spot,ホットスポット
﻿hot dog,ホットドッグ
﻿hot news,ホットニュース
﻿hot balloon,ホットバルーン
﻿hotpants,ホットパンツ
﻿hotplate,ホットプレート
﻿hot potato,ホットポテト
﻿hot money,ホットマネー
﻿hot line,ホットライン
﻿hot laboratory,ホットラボ
﻿hot rod,ホットロッド
﻿hopper,ホッパー
﻿hop,ホップ
﻿hotel,ホテル
﻿Honolulu,ホノルル
﻿hobby,ホビー
﻿hobby craft,ホビークラフト
﻿Hoffmann,ホフマン
﻿Homo economicus,ホモエコノミクス
﻿Homo erectus,ホモエレクトス
﻿homogenize,ホモゲナイズ
﻿Homo sapiens,ホモサピエンス
﻿homogenize,ホモジナイズ
﻿homosexual,ホモセクシャル
﻿Homo habilis,ホモハビリス
﻿homophony,ホモフォニー
﻿Homo movens,ホモモーベンス
﻿Homo ludens,ホモルーデンス
﻿horror,ホラー
﻿horizon,ホリゾント
﻿holiday,ホリデー
﻿holster,ホルスター
﻿Holstein,ホルスタイン
﻿holder,ホルダー
﻿formalin,ホルマリン
﻿formant,ホルマント
﻿hormone,ホルモン
﻿horn,ホルン
﻿holography,ホログラフィ
﻿holographic,ホログラフィック
﻿hologram,ホログラム
﻿holocaust,ホロコースト
﻿horoscope,ホロスコープ
﻿white,ホワイト
﻿white gasoline,ホワイトカソリン
﻿white gold,ホワイトゴールド
﻿white space,ホワイトスペース
﻿white sauce,ホワイトソース
﻿white tie,ホワイトタイ
﻿white noise,ホワイトノイズ
﻿White House,ホワイトハウス
﻿white pepper,ホワイトペッパー
﻿Whitehall,ホワイトホール
﻿whiteboard,ホワイトボード
﻿white meat,ホワイトミート
﻿white liquor,ホワイトリカー
﻿Honduras,ホンジェラス
﻿Honda,ホンダ
﻿bow,ボー
﻿boy,ボーイ
﻿Boy Scouts,ボーイスカウト
﻿boy soprano,ボーイソプラノ
﻿boyish,ボーイッシュ
﻿boy hunt,ボーイハント
﻿boy friend,ボーイフレンド
﻿bowing,ボーイング
﻿bow collar,ボーカラー
﻿vocalist,ボーカリスト
﻿vocal,ボーカル
﻿vocal solo,ボーカルソロ
﻿bauxite,ボーキサイト
﻿vogue,ボーグ
﻿boatswain,ボースン
﻿bow tie,ボータイ
﻿border,ボーダー
﻿border line,ボーダーライン
﻿boat neck,ボートネック
﻿boat people,ボートピープル
﻿board,ボード
﻿boardsailing,ボードセーリング
﻿vaudevillian,ボードビリアン
﻿vaudeville,ボードビル
﻿bonus,ボーナス
﻿bowling,ボウリング
﻿bold,ボールド
﻿ball bearing,ボールベアリング
﻿baud rate,ボーレート
﻿born,ボーン
﻿bonehead,ボーンヘッド
﻿boa,ボア
﻿boycott,ボイコット
﻿voyager,ボイジャー
﻿voice,ボイス
﻿voice mail box,ボイスメールボックス
﻿voice recorder,ボイスレコーダー
﻿boyar,ボイヤー
﻿boiler,ボイラー
﻿bowler,ボウラー
﻿bowl game,ボウルゲーム
﻿vocabulary,ボキャブラリー
﻿boxer,ボクサー
﻿boxing,ボクシング
﻿vocoder,ボコーダ
﻿bossa nova,ボサノバ
﻿boss,ボス
﻿Boston,ボストン
﻿Bosnia,ボスニア
﻿button down,ボタンダウン
﻿buttonhole,ボタンホール
﻿button lock,ボタンロック
﻿box,ボックス
﻿box calf,ボックスカーフ
﻿box seat,ボックスシート
﻿box store,ボックスストア
﻿Botswana,ボツワナ
﻿body,ボディー
﻿body shampoo,ボディーシャンプー
﻿bodysuit,ボディースーツ
﻿body talk,ボディートーク
﻿body treatment,ボディートリートメント
﻿body blow,ボディーブロー
﻿body painting,ボディーペインティング
﻿body line,ボディーライン
﻿body language,ボディーランゲージ
﻿bottom,ボトム
﻿bottom out,ボトムアウト
﻿bottomless,ボトムレス
﻿bottle,ボトル
﻿bottleneck,ボトルネック
﻿bonanzagram,ボナンザグラム
﻿bob,ボブ
﻿bobsleigh,ボブスレー
﻿Bohemian,ボヘミアン
﻿Bohemian glass,ボヘミアングラス
﻿bomb,ボム
﻿voluntary chain,ボランタリーチェーン
﻿volunteer,ボランティア
﻿volume control,ボリュームコントロール
﻿Bolshevik,ボリシェヴィキ
﻿Boulder,ボルダー
﻿Boltzmann,ボルツマン
﻿volt,ボルト
﻿volley,ボレー
﻿bolero,ボレロ
﻿boron,ボロン
﻿bongo,ボンゴ
﻿bonjour,ボンジュール
﻿bonding,ボンディング
﻿bond,ボンド
﻿bonnet,ボンネット
﻿Bombay blood,ボンベイブラッド
﻿boneless ham,ボンレスハム
﻿poker,ポーカー
﻿poker face,ポーカーフェース
﻿pork,ポーク
﻿pork cutlet,ポークカツ
﻿pork cutlet,ポークカツレツ
﻿pork saute,ポークソテー
﻿pork chop,ポークチョップ
﻿porcelain,ポーセリン
﻿porter,ポーター
﻿portability,ポータビリティ
﻿portable,ポータブル
﻿porch,ポーチ
﻿port,ポート
﻿port tower,ポートタワー
﻿portfolio,ポートフォリオ
﻿port wine,ポートワイン
﻿polar,ポーラー
﻿polar tie,ポーラータイ
﻿polling,ポーリング
﻿poison,ポイズン
﻿pointer,ポインタ
﻿pointing,ポインティング
﻿point,ポイント
﻿point and shoot,ポイントアンドシュート
﻿point of view,ポイントオブビュー
﻿point getter,ポイントゲッター
﻿point size,ポイントサイズ
﻿poetry,ポエジー
﻿poetical,ポエティカル
﻿poetic,ポエティック
﻿poetry,ポエトリー
﻿poem,ポエム
﻿pocketable,ポケッタブル
﻿pocket,ポケット
﻿pocket computer,ポケットコンピューター
﻿pocket money,ポケットマネー
﻿possibility,ポシビリティー
﻿positioning,ポジショニング
﻿position,ポジション
﻿positive,ポジティブ
﻿positron,ポジトロン
﻿poster,ポスター
﻿poster color,ポスターカラー
﻿poster session,ポスターセッション
﻿poster value,ポスターバリュー
﻿post,ポスト
﻿post office,ポストオフィス
﻿postcard,ポストカード
﻿postscript,ポストスクリプト
﻿postmaster,ポストマスタ
﻿postmodern,ポストモダン
﻿pottering,ポタリング
﻿pot,ポット
﻿pop,ポップ
﻿pop art,ポップアート
﻿pop country,ポップカントリー
﻿pop gospel,ポップゴスペル
﻿pop jazz,ポップジャズ
﻿pops,ポップス
﻿potato,ポテト
﻿potato chip,ポテトチップ
﻿potato chips,ポテトチップス
﻿potential,ポテンシャル
﻿potency,ポテンツ
﻿ponytail,ポニーテール
﻿poppy,ポピー
﻿popular,ポピュラー
﻿popular music,ポピュラーミュージック
﻿popularity,ポピュラリティー
﻿populism,ポピュリスム
﻿population,ポピュレーション
﻿poplin,ポプリン
﻿pomato,ポマト
﻿Pomeranian,ポメラニアン
﻿Polaris,ポラリス
﻿Polaroid camera,ポラロイドカメラ
﻿polyamide,ポリアミド
﻿polyester,ポリエステル
﻿polyethylene,ポリエチレン
﻿polio,ポリオ
﻿poliovirus,ポリオウイルス
﻿polygraph,ポリグラフ
﻿polygon,ポリゴン
﻿policy,ポリシー
﻿police,ポリス
﻿police academy,ポリスアカデミー
﻿police court,ポリスコート
﻿polystyrene,ポリスチレン
﻿polystyrol,ポリスチロール
﻿polycentrism,ポリセントリズム
﻿polish remover,ポリッシュリムーバー
﻿political apathy,ポリティカルアパシー
﻿political fiction,ポリティカルフィクション
﻿politician,ポリティシャン
﻿politics,ポリティックス
﻿Polynesia,ポリネシア
﻿polypharmacy,ポリファーマシー
﻿polyphony,ポリフォニー
﻿polypropylene,ポリプロピレン
﻿polymer,ポリマー
﻿polymorphism,ポリモルフィズム
﻿pollution,ポリューション
﻿polka,ポルカ
﻿polka dot,ポルカドット
﻿pornography,ポルノ
﻿pornography,ポルノグラフィー
﻿polemic,ポレミック
﻿polo,ポロ
﻿polonaise,ポロネーズ
﻿poncho,ポンチョ
﻿pound,ポンド
﻿marker,マーカー
﻿mercantilism,マーカンヒリズム
﻿margarine,マーガリン
﻿Mercury,マーキュリー
﻿Mercurochrome,マーキュロ
﻿marking,マーキング
﻿marking paper,マーキングペーパー
﻿mark,マーク
﻿markup,マークアップ
﻿markup inflation,マークアップインフレ
﻿mark sheet,マークシート
﻿mark reader,マークリーダー
﻿market,マーケット
﻿market analysis,マーケットアナリシス
﻿market garden,マーケットガーデン
﻿market share,マーケットシェア
﻿market segmentation,マーケットセグメンテーション
﻿market price,マーケットプライス
﻿market leader,マーケットリーダー
﻿market research,マーケットリサーチ
﻿marketing,マーケティング
﻿marketing cost,マーケティングコスト
﻿marketing communication,マーケティングコミュニケーション
﻿marketing map,マーケティングマップ
﻿marketing management,マーケティングマネジメント
﻿marketing research,マーケティングリサーチ
﻿Marshall Plan,マーシャルプラン
﻿merge,マージ
﻿marginal cost,マージナルコスト
﻿marginal man,マージナルマン
﻿marjoram,マージョラム
﻿margin,マージン
﻿march,マーチ
﻿merchandiser,マーチャンダイザー
﻿merchandising,マーチャンダイジング
﻿merchandising right,マーチャンダイジングライツ
﻿merchant,マーチャント
﻿martini,マティーニ
﻿mart,マート
﻿marble,マーブル
﻿marmalade,マーマレード
﻿mermaid,マーメイド
﻿Miami,マイアミ
﻿mike,マイク
﻿micro,マイクロ
﻿microwave,マイクロウエーブ
﻿microelectronics,マイクロエレクトロニクス
﻿microcard,マイクロカード
﻿microcapsule,マイクロカプセル
﻿microcopy,マイクロコピー
﻿microcomputer,マイクロコンピューター
﻿microsurgery,マイクロサージェリー
﻿microscope,マイクロスコープ
﻿microstate,マイクロステート
﻿microsecond,マイクロセカンド
﻿microchip,マイクロチップ
﻿microbus,マイクロバス
﻿microfiche,マイクロフィッシュ
﻿microfilm,マイクロフィルム
﻿microphone,マイクロフォン
﻿micro floppy,マイクロフロッピー
﻿microprogram,マイクロプログラム
﻿microprocessor,マイクロプロセッサー
﻿microvolt,マイクロボルト
﻿micromouse,マイクロマウス
﻿micrometer,マイクロメーター
﻿microreader,マイクロリーダー
﻿migration,マイグレーション
﻿migrate,マイグレート
﻿mycotoxin,マイコトキシン
﻿mycoplasma,マイコプラズマ
﻿minor,マイナー
﻿minor change,マイナーチェンジ
﻿minor league,マイナーリーグ
﻿minor level,マイナーレーベル
﻿minus,マイナス
﻿minority,マイノリティー
﻿mime,マイム
﻿miler,マイラー
﻿milestone,マイルストーン
﻿mild,マイルド
﻿mild inflation,マイルドインフレーション
﻿mind,マインド
﻿mouthpiece,マウスピース
﻿mouse unit,マウスユニット
﻿mounting,マウンティング
﻿mountain,マウンテン
﻿mountain music,マウンテンミュージック
﻿mount,マウント
﻿mound,マウンド
﻿maestro,マエストロ
﻿Macadam,マカダム
﻿macaroni,マカロニ
﻿macaroni western,マカロニウエスタン
﻿magazine,マガジン
﻿magazine rack,マガジンラック
﻿maxi,マキシ
﻿maximum,マキシマム
﻿maxim,マキシム
﻿Machiavellism,マキャベリズム
﻿macrame,マクラメ
﻿macro,マクロ
﻿macroengineering,マクロエンジニアリング
﻿macrocosm,マクロコスモス
﻿macro lens,マクロレンズ
﻿magnum,マグナム
﻿magnitude,マグニチュード
﻿magnetic,マグネチック
﻿magnetic ink,マグネチックインク
﻿magnetic card,マグネチックカード
﻿magnet,マグネット
﻿magma,マグマ
﻿Macedonia,マケドニア
﻿Massachusetts,マサチューセッツ
﻿Maserati,マサラティー
﻿Mother Goose,マザーグース
﻿mother tape,マザーテープ
﻿motherland,マザーランド
﻿mothering,マザリング
﻿machine,マシン
﻿machine gun,マシンガン
﻿machine language,マシンランゲージ
﻿marshmallow,マシュマロ
﻿magician,マジシャン
﻿magic,マジック
﻿magic ink marker,マジックインキ
﻿magic glass,マジックグラス
﻿magic number,マジックナンバー
﻿magic hand,マジックハンド
﻿magic mirror,マジックミラー
﻿majority,マジョリティー
﻿Majorca,マジョルカ
﻿majolica,マジリカ
﻿mass,マス
﻿masker,マスカ
﻿mascara,マスカラ
﻿masculine,マスキュリン
﻿masking,マスキング
﻿mask,マスク
﻿mascot,マスコット
﻿mass communication,マスコミ
﻿mass communication,マスコミュニケーション
﻿mass consumption,マスコンサンプション
﻿Masscomp,マスコンプ
﻿mass screening,マススクリーニング
﻿mass sales,マスセールス
﻿to master,マスター
﻿master key,マスターキー
﻿master course,マスターコース
﻿Masters Golf Tournament,マスターズゴルフ
﻿master tape,マスターテープ
﻿mustard,マスタード
﻿masterpiece,マスターピース
﻿master file,マスターファイル
﻿master plan,マスタープラン
﻿masturbation,マスターベーション
﻿mass democracy,マスデモクラシー
﻿mast,マスト
﻿mass fashion,マスファッション
﻿mass production,マスプロ
﻿mass production,マスプロダクション
﻿mass media,マスメディア
﻿mazurka,マズルカ
﻿masochism,マソヒズム
﻿masochist,マゾ
﻿masochist,マゾヒスト
﻿matador,マタドール
﻿maternity dress,マタニティードレス
﻿madame,マダム
﻿madam killer,マダムキラー
﻿machismo,マチズモ
﻿matinee,マチネ
﻿McCarthyism,マッカーシズム
﻿Macintosh,マッキントッシュ
﻿maximum,マックス
﻿muckraker,マックレーカー
﻿massage,マッサージ
﻿massive attack,マッシブアタック
﻿mash,マッシュ
﻿mashed potato,マッシュポテト
﻿mushroom,マッシュルーム
﻿mass,マッス
﻿match play,マッチプレー
﻿match point,マッチポイント
﻿matching,マッチング
﻿mat,マット
﻿mattress,マットレス
﻿Mach,マッハ
﻿mapping,マッピング
﻿muffin,マッフィン
﻿map,マップ
﻿materialist,マテリアリスト
﻿materialism,マテリアリズム
﻿material,マテリアル
﻿Madeira,マデイラ
﻿matrix,マトリックス
﻿mutton,マトン
﻿mademoiselle,マドモアゼル
﻿muddler,マドラー
﻿Madras,マドラス
﻿Madras check,マドラスチェック
﻿madrigal,マドリガル
﻿madeleine,マドレーヌ
﻿madonna,マドンナ
﻿manners,マナー
﻿manierisme,マニエリスム
﻿manicure,マニキュア
﻿mannish,マニッシュ
﻿mannish look,マニッシュルック
﻿Manitoba,マニトバ
﻿manipulation,マニピュレーション
﻿manipulator,マニピュレータ
﻿manipulate,マニピュレイト
﻿manifesto,マニフェスト
﻿manual,マニュアル
﻿manual manipulator,マニュアルマニピュレーター
﻿manuscript,マニュスクリプト
﻿manufacture,マニュファクチャー
﻿Manila,マニラ
﻿maneuver,マヌーバー
﻿mannequin,マヌカン
﻿money,マネー
﻿money game,マネーゲーム
﻿money supply,マネーサプライ
﻿manage,マネージ
﻿management,マネージメント
﻿management game,マネージメントゲーム
﻿management consultant,マネージメントコンサルタント
﻿management cycle,マネージメントサイクル
﻿management simulation,マネージメントシミュレーション
﻿money handling,マネーハンドリング
﻿money building,マネービル
﻿money flow,マネーフロー
﻿money market,マネーマーケット
﻿moneymaker,マネーメーカー
﻿mannequin,マネキン
﻿mannequin girl,マネキンガール
﻿monetarism,マネタリズム
﻿manometer,マノメーター
﻿Mahatma,マハトマ
﻿maharaja,マハラジャ
﻿mafia,マフィア
﻿muffin,マフィン
﻿mahogany,マホガニー
﻿mayonnaise,マヨネーズ
﻿maracas,マラカス
﻿maraschino,マラスキノ
﻿marathon,マラソン
﻿Malibu,マラブー
﻿malaria,マラリア
﻿marina,マリーナ
﻿marine,マリーン
﻿marionette,マリオネット
﻿Marisat,マリサット
﻿marriage counselor,マリッジカウンセラー
﻿marinade,マリネ
﻿marinade,マリネード
﻿marijuana,マリファナ
﻿marine snow,マリンスノー
﻿marine tower,マリンタワー
﻿marine beef,マリンビーフ
﻿marine blue,マリンブルー
﻿marine ranching,マリンランチング
﻿marine look,マリンルック
﻿Marxist,マルキシスト
﻿Marxism,マルキシズム
﻿Mars,マルス
﻿maltase,マルターゼ
﻿multiway speaker system,マルチウェーシステム
﻿multicast,マルチキャスト
﻿multicoordination,マルチコーディネーション
﻿multispecialist,マルチスペシャリスト
﻿multi talent,マルチタレント
﻿multichanneler,マルチチャネラー
﻿multichannel amp system,マルチチャネルアンプ
﻿multinational,マルチナショナル
﻿multipurpose car,マルチパーパスカー
﻿multiflash,マルチフラッシュ
﻿multiple,マルチプル
﻿multiplexor,マルチプレクサ
﻿multiprogramming,マルチプログラミング
﻿multiprocessor,マルチプロセッサ
﻿multiprocessor system,マルチプロセッサーシステム
﻿multibox,マルチボックス
﻿mulching,マルチング
﻿malt,マルツ
﻿Malaysia,マレーシア
﻿mallow,マロウ
﻿marronier,マロニエ
﻿marrons glaces,マロングラッセ
﻿marron Chantilly,マロンシャンティ
﻿man,マン
﻿man watching,マンウォッチング
﻿mongoose,マングース
﻿mangrove,マングローブ
﻿mangosteen,マンゴスチン
﻿Munshingwear,マンシングウエア
﻿mandarin,マンダリン
﻿mandarin collar,マンダリンカラー
﻿Manchester,マンチェスター
﻿mantle,マント
﻿mandrill,マンドリル
﻿mantle,マントル
﻿mantlepiece,マントルピース
﻿mandolin,マンドリン
﻿mandrake,マンドレーク
﻿manna,マンナ
﻿mannan,マンナン
﻿mannerism,マンネリ
﻿mannerism,マンネリズム
﻿Manhattan,マンハッタン
﻿manhunt,マンハント
﻿man power,マンパワー
﻿manhole,マンホール
﻿mambo,マンボ
﻿mambo jupon,マンボズボン
﻿mammoth,マンモス
﻿mammoth tanker,マンモスタンカー
﻿mammonist,マンモニスト
﻿mammon,マンモン
﻿meeting,ミーティング
﻿media,ミーディア
﻿meat,ミート
﻿meat sauce,ミートソース
﻿meal,ミール
﻿means test,ミーンズテスト
﻿mixer,ミキサー
﻿mixing,ミキシング
﻿mixed,ミクスト
﻿micro,ミクロ
﻿microcosm,ミクロコスモス
﻿Micronesia,ミクロネシア
﻿micrometer,ミクロメーター
﻿micron,ミクロン
﻿missile,ミサイル
﻿misanthrope,ミザントロープ
﻿Michigan,ミシガン
﻿misunderstanding,ミスアンダスタンディング
﻿miscasting,ミスキャスト
﻿misjudgement,ミスジャッジ
﻿mister,ミスター
﻿mistake,ミステイク
﻿misty,ミスティー
﻿mysticism,ミスティシズム
﻿mystification,ミスティフィケーション
﻿mystery,ミステリ
﻿mystery circle,ミステリーサークル
﻿mysterious,ミステリアス
﻿mist,ミスト
﻿mistral,ミストラル
﻿misfortune,ミスフォーチュン
﻿misprint,ミスプ
﻿misprint,ミスプリ
﻿misprint,ミスプリント
﻿mislead,ミスリード
﻿Missouri,ミズーリ
﻿midget house,ミゼットハウス
﻿miserable,ミゼラブル
﻿misery index,ミゼリーインデックス
﻿mix,ミックス
﻿mixed juice,ミックスジュース
﻿mixed doubles,ミックスドダブルス
﻿mixed media,ミックスメディア
﻿mission,ミッション
﻿mission school,ミッションスクール
﻿mitt,ミット
﻿midnight show,ミッドナイトショー
﻿midnight blue,ミッドナイトブルー
﻿medium,ミディアム
﻿medium size,ミディアムサイズ
﻿medium rare,ミディアムレア
﻿mediocracy,ミディオクラシー
﻿MIDI communication,ミディコミ
﻿middy look,ミディロック
﻿mitochondria,ミトコンドリア
﻿mitten,ミトン
﻿middle,ミドル
﻿middle age,ミドルエージ
﻿middle age syndrome,ミドルエージシンドローム
﻿middle class,ミドルクラス
﻿middle teens,ミドルティーン
﻿middle hole,ミドルホール
﻿middle management,ミドルマネージマント
﻿mini,ミニ
﻿miniature,ミニアチュア
﻿minion,ミニオン
﻿minicar,ミニカー
﻿mini component,ミニコンポ
﻿minicycle,ミニサイクル
﻿mini size,ミニサイズ
﻿mini theater,ミニシアター
﻿ministate,ミニステート
﻿monitor,ミニター
﻿miniature,ミニチュア
﻿miniature car,ミニチュアカー
﻿minute steak,ミニッツステーキ
﻿minibuffer,ミニバッファ
﻿minipill,ミニピル
﻿minifacsimile,ミニファクス
﻿mini floppy disk,ミニフロッピーディスク
﻿minimum,ミニマム
﻿minim,ミニム
﻿minestrone,ミネストローネ
﻿Minnesota,ミネソタ
﻿mineral,ミネラル
﻿mineral water,ミネラルウォーター
﻿Minerva,ミネルヴァ
﻿mimic,ミミック
﻿mimosa,ミモザ
﻿Myanmar,ミャンマー
﻿museum,ミュージアム
﻿musical,ミュージカル
﻿musical comedy,ミュージカルコメディー
﻿musical show,ミュージカルショー
﻿musical play,ミュージカルプレー
﻿musician,ミュージシャン
﻿music therapy,ミュージックセラピー
﻿music tape,ミュージックテープ
﻿mutant,ミュータント
﻿mute,ミュート
﻿Muller,ミュラー
﻿mirror,ミラー
﻿mirage,ミラージュ
﻿mirror ball,ミラーボール
﻿miracle,ミラクル
﻿Mila Sohon,ミラショーン
﻿millionaire,ミリオネア
﻿million,ミリオン
﻿million seller,ミリオンセラー
﻿milligram,ミリグラム
﻿millisecond,ミリセカンド
﻿military look,ミリタリールック
﻿militarist,ミリタリスト
﻿militarism,ミリタリズム
﻿millibar,ミリバール
﻿millilitre,ミリリットル
﻿Milwaukee,ミルウォーキー
﻿Milky Way,ミルキーウェー
﻿milk,ミルク
﻿milk coffee,ミルクコーヒー
﻿milk shake,ミルクセーキ
﻿milk fiber rice,ミルクファイバーライス
﻿mink,ミンク
﻿minced beef,ミンチ
﻿mint,ミント
﻿mint julep,ミントジュレップ
﻿moose,ムース
﻿much,ムーチョ
﻿moody,ムーディー
﻿mouton,ムートン
﻿mood,ムード
﻿mood conditioning,ムードコンディショニング
﻿movie,ムービー
﻿movement,ムーブメント
﻿moulin,ムーラン
﻿mussels,ムール
﻿moon,ムーン
﻿moon face,ムーンフェイス
﻿moonlighter,ムーンライター
﻿moonlight,ムーンライト
﻿movie,ムーヴィー
﻿mustang,ムスタング
﻿monsieur,ムッシュー
﻿Mussolini,ムッソリーニ
﻿mutton,ムトン
﻿meuniere,ムニエル
﻿mulatto,ムラート
﻿maker,メーカ
﻿make over,メイクオーバー
﻿Major League,メージャーリーグ
﻿meter stamp,メータースタンプ
﻿maid,メイド
﻿mailing,メーリング
﻿mailing list,メーリングリスト
﻿mail order,メールオーダー
﻿mail survey,メールサーベイ
﻿main,メーン
﻿main amp,メインアンプ
﻿main event,メインエベント
﻿main culture,メインカルチャー
﻿main gate,メインゲート
